pseudobulk,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,xmin,xmax
B.INT,mean.CEI,HV,Sepsis,10,11,1.1374953891885862,0.2553312510099473,0.6466697385581373,ns,1,6
B.INT,mean.CEI,CM,CS,12,20,-0.11307745974005437,0.9099691448828554,0.9749669409459165,ns,2,3
B.INT,mean.CEI,CM,CC,12,17,-0.11901098826613145,0.9052666502778001,0.9749669409459165,ns,2,4
B.INT,mean.CEI,CM,CComm,12,12,-1.3285280487719437,0.18400372380701382,0.6466697385581373,ns,2,5
B.INT,mean.CEI,CM,Sepsis,12,11,0.1813722013246435,0.8560754371231813,0.9749669409459165,ns,2,6
B.INT,mean.CEI,CS,CC,20,17,-0.010856812261893469,0.9913376872887052,0.9913376872887052,ns,3,4
B.INT,mean.CEI,CS,CComm,20,12,-1.3722620537945567,0.1699818739200037,0.6466697385581373,ns,3,5
B.INT,mean.CEI,CS,Sepsis,20,11,0.31168287258359373,0.7552815457012031,0.9749669409459165,ns,3,6
B.INT,mean.CEI,CC,CComm,17,12,-1.3194933882533912,0.18700421908069523,0.6466697385581373,ns,4,5
B.INT,mean.CEI,CC,Sepsis,17,11,0.3116155471535523,0.75533271726885,0.9749669409459165,ns,4,6
B.INT,mean.CEI,CComm,Sepsis,12,11,1.480698265436064,0.13868699641554258,0.6466697385581373,ns,5,6
B.MEM,mean.CEI,HV,CM,10,11,1.3851201392747372,0.16601573476499645,0.6225590053687367,ns,1,2
B.MEM,mean.CEI,HV,CS,10,19,1.538029164142641,0.12404148412024905,0.6225590053687367,ns,1,3
B.MEM,mean.CEI,HV,CC,10,16,1.4024557470762216,0.1607791963300485,0.6225590053687367,ns,1,4
B.MEM,mean.CEI,HV,CComm,10,12,0.924634790038475,0.35515590999107133,0.8215689608990875,ns,1,5
B.MEM,mean.CEI,HV,Sepsis,10,12,1.9715491809334873,0.04866109340945202,0.6225590053687367,ns,1,6
B.MEM,mean.CEI,CM,CS,11,19,-0.011412706387705756,0.9908941754487753,0.9908941754487753,ns,2,3
B.MEM,mean.CEI,CM,CC,11,16,-0.10175423850139707,0.9189517494252858,0.9845911600985204,ns,2,4
B.MEM,mean.CEI,CM,CComm,11,12,-0.5014033884280175,0.6160872555802861,0.8215689608990875,ns,2,5
B.MEM,mean.CEI,CM,Sepsis,11,12,0.5724745852301187,0.5670004989059232,0.8215689608990875,ns,2,6
B.MEM,mean.CEI,CS,CC,19,16,-0.10471430812896794,0.9166025081382265,0.9845911600985204,ns,3,4
B.MEM,mean.CEI,CS,CComm,19,12,-0.5558846412608806,0.578289718347236,0.8215689608990875,ns,3,5
B.MEM,mean.CEI,CS,Sepsis,19,12,0.6597930963031995,0.5093866142221732,0.8215689608990875,ns,3,6
B.MEM,mean.CEI,CC,CComm,16,12,-0.4437059837324713,0.65725516871927,0.8215689608990875,ns,4,5
B.MEM,mean.CEI,CC,Sepsis,16,12,0.730119370057135,0.4653172222581942,0.8215689608990875,ns,4,6
B.MEM,mean.CEI,CComm,Sepsis,12,12,1.0980130764473537,0.27219877931104247,0.8165963379331274,ns,5,6
PB,mean.CEI,HV,CM,10,12,-1.6697848054809432,0.09496194769512813,0.2848858430853844,ns,1,2
PB,mean.CEI,HV,CS,10,20,-3.0046865287368094,0.0026585468974894095,0.039878203462341145,*,1,3
PB,mean.CEI,HV,CC,10,18,-2.1516937072702267,0.03142148609254203,0.15710743046271014,ns,1,4
PB,mean.CEI,HV,CComm,10,12,-0.8784941336379426,0.37967561988508114,0.5082352094881051,ns,1,5
PB,mean.CEI,HV,Sepsis,10,11,-1.721199050509922,0.08521471007608597,0.2848858430853844,ns,1,6
PB,mean.CEI,CM,CS,12,20,-1.2289550879291204,0.219088645435517,0.4694756687903936,ns,2,3
PB,mean.CEI,CM,CC,12,18,-0.35870189454333357,0.7198181109455506,0.8305593587833275,ns,2,4
PB,mean.CEI,CM,CComm,12,12,0.829912658103443,0.4065881675904841,0.5082352094881051,ns,2,5
PB,mean.CEI,CM,Sepsis,12,11,-0.08884705921703856,0.9292034576968977,0.9292034576968977,ns,2,6
PB,mean.CEI,CS,CC,20,18,0.9697669862235582,0.33216265220595703,0.5082352094881051,ns,3,4
PB,mean.CEI,CS,CComm,20,12,2.1568256473825405,0.031019251967293503,0.15710743046271014,ns,3,5
PB,mean.CEI,CS,Sepsis,20,11,1.096663734837602,0.2727884150358168,0.5082352094881051,ns,3,6
PB,mean.CEI,CC,CComm,18,12,1.26782566174799,0.20486021588127265,0.4694756687903936,ns,4,5
PB,mean.CEI,CC,Sepsis,18,11,0.25239530099816754,0.800735531865589,0.8579309269988453,ns,4,6
PB,mean.CEI,CComm,Sepsis,12,11,-0.9005176510472754,0.36784483625011155,0.5082352094881051,ns,5,6
